2026-06-10 05:48:41,646 | INFO     | company-ai.ai | pid=3075 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=302 search_type='SEMANTIC' store='s3' rerank='flashrank'
2026-06-11 06:07:07,409 | INFO     | company-ai.ai | pid=9576 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 07:10:46,573 | INFO     | company-ai.ai | pid=10620 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 07:23:35,395 | INFO     | company-ai.ai | pid=11953 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 08:06:34,094 | INFO     | company-ai.ai | pid=12889 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 08:43:27,811 | INFO     | company-ai.ai | pid=16795 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 09:03:56,600 | INFO     | company-ai.ai | pid=19737 | FlashRank loaded | model='ms-marco-MiniLM-L-12-v2'
2026-06-11 09:11:54,193 | INFO     | company-ai.ai | pid=20329 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=1500 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-11 09:12:28,222 | INFO     | company-ai.ai | pid=20329 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=298 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-11 09:13:20,015 | INFO     | company-ai.ai | pid=20329 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=312 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-11 12:49:47,506 | INFO     | company-ai.ai | pid=20329 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=408 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-12 09:04:48,460 | INFO     | company-ai.ai | pid=24270 | KB retrieve | depts='security' meta_filters='(none)' results=9 latency_ms=903 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-12 13:10:09,288 | INFO     | company-ai.ai | pid=24270 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=407 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-12 13:19:37,028 | INFO     | company-ai.ai | pid=24270 | KB retrieve | depts='security' meta_filters='(none)' results=7 latency_ms=371 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-12 13:21:17,888 | INFO     | company-ai.ai | pid=24270 | KB retrieve | depts='security' meta_filters='(none)' results=9 latency_ms=271 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-14 02:49:15,216 | INFO     | company-ai.ai | pid=25970 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=575 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:06:13,689 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='security' meta_filters='(none)' results=9 latency_ms=907 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:06:59,478 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='security' meta_filters='(none)' results=7 latency_ms=332 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-15 05:08:08,108 | INFO     | company-ai.ai | pid=27884 | KB retrieve | depts='security' meta_filters='(none)' results=7 latency_ms=364 search_type='SEMANTIC' store='s3' rerank='passthrough'
